video_name,transcript
7304890256908733702.txt,"And finally, as I said in the beginning,
if you want to be an anatomist or an anatomist,
you have to be in the right place.
Any positions, you have to be in the right place."
7081929105196846342.txt,"Hi guys, this is your girl Abinom Mercedes. I'm back on your screen again. Hope everybody is fine and you are doing well
So I'm here to give you another update update update update on the tier 2 sponsorship visa
So two companies have approached me and they are looking for general nurses
mental health nurses and
Psychiatric nurses this first company is looking for general nurses and this is their requirement
They require you to have an IELTS and pass by 7.0 and above
Your certificates and your CV
Everything should be saved under one PDA file
They are also going to sponsor you with all your flight tickets accommodation and visa fee. It is free
They are sponsoring you for free. All you need to do is get your IELTS ready
Make sure you've passed by 7.0 in all categories
They can consider band 6.5 in writing add it to your document and email it to me
If you go on my profile the bio area you will see my email address there
Can you send all your documents to me and I'll forward it to the company now the second company is looking for
mental health nurses and
psychiatric nurses
this company also require you to have your IELTS and pass by 7.0 and
Also, they can consider you band 6.5 in writing if you ask a
Psychiatric nurse or a mental health nurse this company is also going to sponsor you free for tier 2 sponsorship visa
You'll get three to five years visa and they'll give you accommodation
They sponsor you your flight tickets and then your visa fee
Also upload all your documents and send it to my email
Make sure all your documents are saved under one PDF file your passports your police reports your certificates your
CV and your IELTS everything should be saved under one PDF file go on my bio my profile
TikTok you see my email address there click on that
Send me all your documents and I'll forward it to the company this company will reply you directly and start dealing with you directly
Thank you for understanding. Thank you for listening
I hope you you will send all your documents to me and I wish you good luck in your application. Thank you. Bye"
7455984624431418656.txt,"They are not helping registered nurses who want to come and write their OSCE.
And if you have the means to self-sponsorship income today, go and apply for visitor visa and come.
Apply for visitor visa and come and write your OSCE.
Start looking for nursing jobs straight away.
So thank you all. This is a surprise. Thank you so much for the gift. I do appreciate it. Thank you so much.
Thank you all for your time. Thank you for joining me. If you have any questions, you have any requests, send your contributions and come up.
Thank you so much, Sabath. I do appreciate your gifts. Thank you so much. Thank you.
So if you have any questions or contributions, send your requests and come up.
And the midwives that I am looking for. Midwives who have passed their IELTS.
It's true that the sun is not...
The sun is sun.
The sun.
So..."
7445603273106607393.txt,"Allah, la ilaha illa huwa al-hayyu al-qayyum
La ta'khudhu sinatun wala nawm
Lahu ma fi al-samawati wama fi al-ar
Man dha alladhi yashfa'u indahu illa bi-idnih
Ya'lamu ma bayna aydihim wama khalfahum
Wala yuhi'tun bi-shay'in min ʿidmihi illa bi-mashaa
Wasi'a kursiyuhu al-samawati wal-ar
Wala ya'ooduhu hifdhu huma wahuwa al-'aliyu al-'azim"
7317911214598737184.txt,"Oh lord I won't stop for nothing, victory's near, I'm feelin' it, and I stay G with it
I won't stop for nothing, victory's near, I'm feelin' it, and I stay G with it"
7477179557372726530.txt,Thanks for watching!
7509558405736975638.txt,Hello! Hello! You're welcome today. Your prediction today? My prediction? 3-2! Wow! 3-2!
7438638999985458465.txt,"nursing are not in the uk apply for care jobs please apply for care jobs that have cos
so that you can use that route to come to the uk when you get here and you get some one year
experience here you can switch to your nursing without having to ride the aisles at all so let's
all try that you if you are struggling with your english don't bother use carer routes to come
if you are a nurse and you're applying for care jobs your chances of getting the care job is
higher bridges i see you bridges i see i see you bridges thank you so much for the roses thank
you so much for the roses so if you are a nurse and you're applying for care jobs your chances of
being selected is very high because they know you you are good at what you do so they will pick you
and then when you get here you can switch over to do your pin and everything and then you use
your experience here to waver the english off so you don't have to do the english at all then
you get your your pin so"
7506578209719291158.txt,"Calm down calm down. I'm just here to check your vitals. Oh
By the look at things I think I just raised them"
7179857768218692869.txt,"I think something you could do
But you haven't seen my face
You haven't seen"
7389367791670791430.txt,Outro music
7352594485605420294.txt,"But remember that every step of this process is going to be stressful and mentally draining.
So I started here as a carer and I am now a professional certified midwife.
Okay.
So if I can do it, we can do it too.
So if you are already in the UK and work here, you have an upper hand in one of the processes
that I'm going to be mentioning.
I'm going to be going into details with regards to that in the video.
After that, you can start with whichever example you want to write first, being the OSCE, the
CBT or the English proficiency, which is OET, IOT or let your employer show your proof of
English.
So I'm going to go into details on how to apply for jobs and how to write your CBT,
your OET, your OSCE.
And I'm going to be also assisting you with materials to help you write these exams.
Make sure you share this video with your friends and subscribe to this YouTube channel."
7453745463414574369.txt,"inos
star
star
star
star
star
star
star
star
Ceo
Ceo
Ceo
Ceo
Ceo
Ceo
Ceo
Ceo"
7232358776899210523.txt,Thanks for watching
