hashtag,video_url,username,caption,views,likes,shares
ghanauknurses,https://www.tiktok.com/@sethdarkoagyemang/video/7533342762666560790,sethdarkoagyemang,MOH Financial Clearance For Nurses in Ghana #UKNursing #foryoupage #viralvideo #NurseGoal #moh,0,169,6
ghanauknurses,https://www.tiktok.com/@thebigroom1/video/7547876511206952214,thebigroom1,ANTT in OSCE gentle trainers Ghana Uk nurse #gentleoscetrainers #nurse #osce #fyp #bigroomosce,0,125,5
ghanauknurses,https://www.tiktok.com/@thebiznurse/video/7493825349193633029,thebiznurse,"Ghanaian Nurse in UK: NMC Registration After Top-Up Degree We explain the NMC registration process for Ghanaian nurses in the UK after a top-up degree. Learn about accreditation, program leader consultations, and career progression. #GhanaianNursesUK #NMCRregistration #NursingTopUpDegree #UKNursingJobs #InternationalNurses #UniversityOfDerby #NursingCareer #RegisteredNurse #NursingEducation #OverseasNurses",0,29,3
ghanauknurses,https://www.tiktok.com/@papanurse13new/video/7545764596833914134,papanurse13new,"Let’s help you pass your OSCE, OET and CBT with ease! Tailored to suit your needs and availability. Send a message now. 5 weeks intensive virtual studies and 3 days face to face. #fyp #viralvideos #ghanatiktok🇬🇭 #nurses #trends",0,560,32
ghanauknurses,https://www.tiktok.com/@kafuidey7/video/7135015684907584774,kafuidey7,"What's it like to be an African nurse working in Europe? Listen to the story of Jeff, a psychiatric nurse from Ghana. #nurse #nursing #Ghana #UK #migration #braindrain #Africa #Europe",0,274,14
ghanauknurses,https://www.tiktok.com/@rosie_konadu/video/7338917585985064224,rosie_konadu,"Replying to @Brain I have lits of questions about rising in bands and moving into specialties. This is going to be a series. Kinkdy follow ,like and share . ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ #nurses#uknurses🇬🇧#viral❤️#ghananursesandmidwives🇬🇭#ghanatiktokers🇬🇭🇬🇭🇬🇭 #ghananursesintheuk🇬🇧",0,396,29
ghanauknurses,https://www.tiktok.com/@kanyeeti_/video/7547274220485512470,kanyeeti_,I love this era for me🤍 #selfcare #nurselife #nhsnurse #nursehumor #nursetok,0,673,11
ghanauknurses,https://www.tiktok.com/@willvybez/video/7416070617914477856,willvybez,UK GHANAIAN NURSES ASSOCIATION DINNER DANCE 💃 🔥🔥🔥,0,111,8
ghanauknurses,https://www.tiktok.com/@naa_adoma8/video/7465653956421766405,naa_adoma8,We offer you the best you can imagine 😩❤️#christianserviceuniversity #studentnursesoftiktok🇬🇭 #uktiktok🇬🇧uk #fyppppppppppppppppppppppp #nursingstudent #universitylife,0,4247,21
ghanauknurses,https://www.tiktok.com/@paa_kwasi_jonathan_tv/video/7540574535578307870,paa_kwasi_jonathan_tv,#fyp #fypシ #trending #foryou #fypage #tiktok #viralvideo #foryoupage #viral,0,107,6
ghanauknurses,https://www.tiktok.com/@rythmx_studio/video/7500535396372155654,rythmx_studio,Meye Dreamer🥰#yppppppppppppppppppppppp #londonlife #ghanatiktok🇬🇭 #ypfッ #uk #nurselife #nurse #nurselondon #nurseghana #uknurses🇬🇧 #ghananursesandmidwives🇬🇭,0,134,0
ghanauknurses,https://www.tiktok.com/@__her.royal.high.nurse__/video/7205521097540783366,__her.royal.high.nurse__,My Sabi Nurses❤️🩺❤️ @Nyaniba Health College offers the best nursing training you can get❤️🩺❤️ #foryoupage #fyp #foryou #fypシ #ghananurses #ghnurse #ghnursesandmidwives #nursesoftiktok #nurse #nursing #trending #cruisetok #viral,0,8441,162
ghanauknurses,https://www.tiktok.com/@thebiznurse/video/7506437082311593221,thebiznurse,"Replying to @wendy_Saal Can a Public Health Nurse from Ghana work as an Adult Nurse in the UK? YES — a Public Health Nurse/ community health nurse from diploma level upwards from Ghana can work as an Adult Nurse in the UK, usually by applying through the NMC international registration pathway #communityhealthnurse #diplomacommunityhealthnurse • #PublicHealthNurse • #GhanaNurses • #NursingAbroad • #NurseMigration • #UKNursePathway • #NMCRegistration • #NursesOfGhana • #NurseToUK • #AdultNurseUK • #StudyNursingAbroad • #GhanaToUK • #AfricanNurses • #NursingInTheUK • #NurseRegistration • #GhanaNurseJourney • #RGNinUK • #CareMigration • #NMCApproved • #NursingCareer • #NurseRelocation • can a public health nurse work in uk • how to register as a nurse in uk from ghana • public health nurse to adult nurse uk • public health nurse nmc registration • uk nursing jobs for ghana nurses • nmc requirements for international nurses • convert public health nurse to adult nurse • public health nurse uk pathway • how to become a nurse in uk from ghana • steps to work in uk as a nurse @fiifinanaba",0,1487,72
ghanauknurses,https://www.tiktok.com/@lyn.nyark/video/7455984624431418656,lyn.nyark,#LIVEhighlights #TikTokLIVE #LIVE #nursing #uknurses🇬🇧 #ghananursesandmidwives🇬🇭 #ghanatiktok🇬🇭,0,116,5
ghanauknurses,https://www.tiktok.com/@nana_akua_holdbrooke17/video/7163278150607064322,nana_akua_holdbrooke17,##ghanatiktok🇬🇭 #nursesoftiktok #ukrn #uk #viral #🇬🇧 #🇬🇭 #ghana #trending #fyp,0,29,3
GhanaInUK,https://www.tiktok.com/@erica_baffour/video/7480146221806505221,erica_baffour,Too glam to give a damn🥰#tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧 #tiktokuk🇬🇧,0,13.8K,88
GhanaInUK,https://www.tiktok.com/@tina_news_gh/video/7442678720504122680,tina_news_gh,#fyp #explore #fypviral #tiktokviral #prophetericboahen #fyppppppppppppppppppppppp #tikokuk🇬🇧 #ghanaisinuk #owusubempah,0,15.5K,1474
GhanaInUK,https://www.tiktok.com/@kwamevirgin9/video/7509558405736975638,kwamevirgin9,"Ghana fans ready for the match at the GTech Community Stadium in Brentford, UK 🇬🇭 ⚽️ 😃",0,16.4K,1373
GhanaInUK,https://www.tiktok.com/@ahwenepankasaafya08/video/7240034176383175963,ahwenepankasaafya08,#fypシ゚viral #fypシ #foryou #foryoupage #foryou #trending #uktiktok🇬🇧uk #ghanatiktokers🇬🇭🇬🇭🇬🇭 #❤️❤️❤️❤️❤️💃💃💃💃💃👌👌👌👌👌,0,8082,86
GhanaInUK,https://www.tiktok.com/@maameserwaa_asare/video/7499566236930428182,maameserwaa_asare,#fyp#uklife🇬🇧 #africantiktok #ghanatiktok🇬🇭 #uktiktok,0,3096,57
GhanaInUK,https://www.tiktok.com/@akosua_jenfua/video/7467623143939542304,akosua_jenfua,Drop your location and let’s make some new friends 😊. If you want to join the WhatsApp group just dm me. UK Only #fypviraltiktok🖤シ゚☆♡ #ghanatiktok🇬🇭 #ghanauktiktokers🇬🇭🇬🇧 #goviral #tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧 #contentcreator #tiktokviral #friends #ghanafuodotcom,0,260,1
GhanaInUK,https://www.tiktok.com/@miss_liverpool/video/7498014461983280406,miss_liverpool,Still got a long way to go but I believe I have done well within a period of 4months 🙏❤️#viralvideo #inkerbell #ghanatiktok🇬🇭 #uktiktok🇬🇧uk #blackafricangirl #ghanaianinuk #weightlosstransformation #weightlossjouney #weightlos,0,238,11
GhanaInUK,https://www.tiktok.com/@glamorousbeauty7/video/7002338055755517189,glamorousbeauty7,#trending #fyp#glamorousbeauty A little introduction 🥺🥰,0,808,6
