hashtag,video_url,username,caption,views,likes,shares
ghanauknurses,https://www.tiktok.com/@lyn.nyark/video/7550037124049947926,lyn.nyark,#ghanatiktok🇬🇭 #fyppp #uknurses🇬🇧 #ukticktok🇬🇧 #fyp,258,6,1
ghanauknurses,https://www.tiktok.com/@kejetiafoodsonline/video/7510220629413547286,kejetiafoodsonline,"🇬🇭 Ghanaian plug in the UK? Say less! We’ve got your FanYogo and FanIce cravings covered. Fresh stock, authentic taste, doorstep delivery. Tag a Ghanaian who knows the vibe 💯 📩 Order now – limited quantities! #FanIceReloaded #FanYogoLove #DiasporaCravings #GhanaSnackPlug #GhanaToUK #AfroTreatsLondon #GhanaianOwnedBusiness #TwiTok #UKGhanaian",60800,1519,272
ghanauknurses,https://www.tiktok.com/@kofilondon3/video/7307640977798253856,kofilondon3,#ghanaukticktokers🇬🇭🇬🇧 #ghanausa🇬🇭🇺🇸 #kofilondon3 #payola #fyp,268400,16100,138
ghanauknurses,https://www.tiktok.com/@face_to_fame_tv/video/7545224967051316502,face_to_fame_tv,PRO for Accra regional Nurses Association crying on National Television 😭😭 #ghanatiktok🇬🇭 #uktiktok #ghanatiktokers🇬🇭🇬🇭🇬🇭 #viralvideos #aifilter,599900,9621,505
ghanauknurses,https://www.tiktok.com/@nurse_ayjhay/video/7224796859062160646,nurse_ayjhay,WE ARE ONE AND WE WON'T GIVE UP💪pls comment if you are part of this video💉🩺#nursesandmidwives #ghananurses #ghananursesandmidwives🇬🇭 #nursestiktok #healthawareness #ghananurses🌡,343900,4413,567
ghanauknurses,https://www.tiktok.com/@nadiaboampong/video/7547099765691944214,nadiaboampong,"From Nursing Officer to a UK Band 8 nurse in Digital Health Leadership and a Fellow of the Faculty of Remote, Rural and Humanitarian Healthcare (FFRRHHEd) of the Royal College of Surgeons of Edinburgh, Nang-Tege share his story with the world, and leaves some advice for Ghanaian nurses in the UK. Full video on the red channel 😃… #lifeabroad24 #nursing #unitedkingdom #nurse #nurselife @Sirrr Bonsu🇬🇧 @🌸🌺 um juddy18🌸 @Policedancestyler_gaaga @justicearkorful51 @Ghanaians Worldwide 🇬🇭🌍 @New Kwame Gyasi|UGC creator @Achempong @Samuel Kwesi Armah @@Astonish official❤️ @@Expo @@Mostblessed @Afrofashion",686,71,13
ghanauknurses,https://www.tiktok.com/@ursexynurse/video/7521335985116925189,ursexynurse,Type Amen if you believe 🙏#studentnurse💊💉 #viralvideos #ghanatiktok🇬🇭 #fyp,41400,1732,12
ghanauknurses,https://www.tiktok.com/@nanellegriselda/video/7231579018271690011,nanellegriselda,Watch this before Thursday 11th May #ghananursesandmidwives🇬🇭 #overseasnursesuk #ghananursesuk,9337,260,35
ghanauknurses,https://www.tiktok.com/@hanny_kuks/video/7322900906482158891,hanny_kuks,Night nurse GRWM #CapCut #fypシ #fyp #fypシ゚viral #nurse #nightshift #nursesoftiktok #skincare #nighttimeskincare #uknurses🇬🇧 #uknurse #hannykuks #viralvideo #trend #skincareroutine #tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧,2783,77,1
ghanauknurses,https://www.tiktok.com/@agyemang_seth_darko/video/7311075600641330438,agyemang_seth_darko,How I became a UK nurse (ALL LINKS ARE IN MY PROFILE) #CapCut #nurselife #uknmc #foryou #nurse #interview #nursing #nurselife #foryoupage,11800,356,47
ghanauknurses,https://www.tiktok.com/@obaapre1/video/7512380398752582934,obaapre1,Register with Elite OSCE …Call the number on the flyer now #fyp #trendingvideo #Eliteosce #osce #ukrn #ghanatiktok🇬🇭 #education @AKUA 🧠OBENG-POMAAH @Imanuel Antwi @Papanurse13 New,7530,124,6
ghanauknurses,https://www.tiktok.com/@ruhiatuabaa/video/7445603273106607393,ruhiatuabaa,Sister Maria thanks for joining us in prayers 🙏 🙏 🙏 🙏 #hijabi #islam #muslimtiktok #quran_alkarim #nurse #ghanatiktok🇬🇭 #nhs #fyp #uk #,11600,660,3
ghanauknurses,https://www.tiktok.com/@rosie_konadu/video/7340350046828825888,rosie_konadu,Replying to @adetolaaa_ One of the best decisions i have made in my career is becoming a clinical research nurse. The future prospects of this nursing specialty is enormous. #fypシ゚viral🖤tiktok☆♡🦋myvideo❤️❤️🥰🥰🥰fyp #uknurses🇬🇧 #ghanatiktokers🇬🇭🇬🇭🇬🇭🇳🇬🇳🇬🇳🇬_uk🇬🇧🇬🇧🇬🇧mum #viral#ghanatiktok🇬🇭love❤️❤️ #nursesoftiktok#nurses#progress#,4060,170,59
ghanauknurses,https://www.tiktok.com/@lyn.nyark/video/7454929036083563809,lyn.nyark,#LIVEhighlights #TikTokLIVE #LIVE #uknurses🇬🇧 #ghanatiktok🇬🇭 #ghananurses #ghananursesandmidwives🇬🇭 ghananurse,19400,515,18
ghanauknurses,https://www.tiktok.com/@modern_nursesandmidwives/video/7173738839159229702,modern_nursesandmidwives,"WHAT ARE YOU COMMENTS ON THIS.... Health Minister, Kwaku Agyemang Manu, has revealed an imminent bilateral agreement between the Government of Ghana and the British Government to send Ghanaian trained Nurses to the United Kingdom (UK) in EXCHANGE FOR FINANCIAL CONSIDERATIONS.🧐🤔🤔 #xyz #makemefamous #fypシ #VIRAL #viral #nurses #modernnursesandmidwives #trend #uk #ghana #foryou #fyppp",36200,891,113
ghanauknurses,https://www.tiktok.com/@akosua_jenfua/video/7467623143939542304,akosua_jenfua,Drop your location and let’s make some new friends 😊. If you want to join the WhatsApp group just dm me. UK Only #fypviraltiktok🖤シ゚☆♡ #ghanatiktok🇬🇭 #ghanauktiktokers🇬🇭🇬🇧 #goviral #tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧 #contentcreator #tiktokviral #friends #ghanafuodotcom,6486,263,1
ghanauknurses,https://www.tiktok.com/@thebiznurse/video/7493825349193633029,thebiznurse,"Ghanaian Nurse in UK: NMC Registration After Top-Up Degree We explain the NMC registration process for Ghanaian nurses in the UK after a top-up degree. Learn about accreditation, program leader consultations, and career progression. #GhanaianNursesUK #NMCRregistration #NursingTopUpDegree #UKNursingJobs #InternationalNurses #UniversityOfDerby #NursingCareer #RegisteredNurse #NursingEducation #OverseasNurses",1498,29,3
ghanauknurses,https://www.tiktok.com/@nursestunnar/video/7095247412142411013,nursestunnar,MUST WATCH VIDEO FOR ALL NURSES & MIDWIVES. Full Video on YouTube- Nursing with Stunnar #fyp #fypシ #uknurses🇬🇧 #ghanatiktok #osce,3773,128,7
ghanauknurses,https://www.tiktok.com/@friends.of.nanelle/video/7317911214598737184,friends.of.nanelle,#afuaasantewaa has gain massive attention among local and international media🫡🤛🏾💪🏾 #guinnessworldrecords #ghanasingers #ghana #singingmarathon #ghanatiktok🇬🇭 #ghanamedia #nanelle #nanellegriselda #nanelletiktok #nanelle2024 #uknurses🇬🇧 #ghanaiansintheuk,13400,249,2
ghanauknurses,https://www.tiktok.com/@24ghcomedy2/video/7547423980362255672,24ghcomedy2,Song titled: I miss you mama 🥹#tiktoknigerianigeria🇳🇬🇳🇬 #fypシ゚viral🖤 #crying #fypシ゚viral🖤tiktok☆♡🦋 #trendingghanatiktok🇬🇭🇬🇭 #ghanati🇳🇬🇳🇬🇳🇬_uk🇬🇧🇬🇧🇬🇧 #fypシ゚viral🖤tiktok☆♡🦋myvideo #crying #fypシ゚viral🖤tik #fypシ゚viral🖤tik #tiktokghana🇬🇭fyp💫❤️❤️🔥 #tiktokghana🇬🇭fyp💫❤️❤️🔥 #tiktoknigerianigeria🇳🇬🇳🇬 This video doesn’t support violence TikTok.,595900,33100,18300
